CATAGORIES,FOOD PRODUCT,H.H. MEASUREMENTS               ,please enter,Enter here,serving size,PROTEIN gs.,FAT  gs.,carbs,Kcal,FIBRE gs.,CALCIUMmg,IRON mg.,
,Skimmed Milk Powder(Cow's milk),,gms,10,10,3.8,0.01,5.1,36,,137,0.14,
,Skimmed milk/low fat milk/curd,(0.1 % fat),ml,100,100,2.5,0.1,5,29,,,,
,soyafit soya milk/curd,,ml,100,100,3.2,1.6,2,35,1,,,
,Tofu (Soya paneer),,gms,100,100,13.8,5,4,117,2.3,310,,
FATS & EDIBLE OILS,Amul butter,,no. of tspn,1,5,0,4,0,36,,,,
,Amul lite bread spread,,gms,5,5,,3.5,0,32,,,,
,Butter,1 tspn = 5 gms,no. of tspn,1,5,,4.1,,36,,,,
,"Cooking Oil (Groundnut, Sunflower, Ricebran, safflower, Mustard, Coconut etc.)",1 tspn = 4 gms,no. of tspn,1,4,,4,,36,,,,
,Ghee (Cow),1 tspn = 5 gms,no. of tspn,1,5,,5,,45,,,,
,Honey,1 tspn = 6 gms,no. of tspn,1,6,0,,5,19,,0.3,0,
,Jaggery ,,gms,5,5,0,0,5,19,,4,0.1,
,Mayonnaise,1 tbsp=14 g,No. of tbsp,1,14,0,11,0,100,,3,0.1,
,Mayonnaise fat-free,1 tbsp =10 gms,No. of tbsp,1,10,0,0.1,2,12,,,,
,Olive oil,1 tspn = 4 gms,no. of tspn,1,4,0,4,0,35,,,,
,Sago (sabudana),,gms,5,5,0,0,4,18,,0.5,0.1,
,Sugar,in tspn (1tsp=5g),no. of tspn,1,1,0,0,5,20,,0,,
,Sugarcane,,gms,50,50,0,,50,199,,6,0,
DESSERTS,Apple pie,1 slice,No. of slice,1,1,,,,280,,,,
,Brownie with icecream,1 serving,No. of serving,1,1,,,,960,,,,
,Cashewnut barfi,,No. of barfis,1,1,,11,,186,,,,
,Cheese cake,1 slice,No. of slice,1,1,,,,730,,,,
,"Chocochip icecream, Baskin robbins",1 scoop,No. of scoop,1,1,,,,270,,,,
,Chocolate icecream,,scoops,1,1,,15,,306,,,,
,Chocolate mousse,,cups,1,1,,29.3,,559,,,,
,Chocolate pastry,,No. of pcs,1,1,,15,,310,,,,
,"Donut, choco frosted",1,No. of donuts,1,1,,,,204,,,,
,"Frozen Yogurt, low-fat (180 gms)",1 cup,No. of cups,1,1,6,3.6,45,234,,,,
,Gulab Jamun,,No. of gulabjamuns,1,1,,7,,152,,,,
,Haldirams Rasgulla,1 small = 25 gm,No. of rasgullas,2,50,4.3,2,26,125,0.4,350,,
,Muffin,1,No.of muffins,1,1,,,,450,,,,
,Oreo McFlurry (Mc Donald's),1 serving,No. of srvgs,1,1,14,16,88,560,,,,
,Rasgulla,1 medium,No. of rasgullas,1,1,,,,152,,,,
,"TGI Friday""s Brownie Sundae",1 serving,No. of srvgs,1,1,9,55,48,960,,,,
CHIPS/CRISPS,Baked potato chips (selfcare),one serving -25 g,No. of serving,1,1,2.6,0.4,19,90,,,,
,Lay's baked classic salted,"1 chip=1 gm, 1 small pack=31 gm",No. of chips,27,27,2,4.2,20,124,,,,
,Lay's classic salted,"1 chip=1 gm, 1 small pack = 27 gm",No. of chips,27,27,1.9,9.6,14,150,,,,
,Pepe,1 chip=1 gm,No. of chips,2,2,0.2,0.6,1,11,,,,
,Peppy,"1 chip =  0.5 Gm, 1 small pack = 23 gm",No. of chips,27,13.5,1.1,3.6,8,68,1,,,
,"Popcorn, salted",1 cup = 8 gms,No. of cups,2,16,0.8,4.5,10,83,,,,
,Pringles Original,1 chip=2 gm,No. of chips,14,28,1,11,14,160,,,,
CHOCOLATES,5- Star,1 bar = 32 gm,No. of bars,1,32,1.2,5.1,23,141,,,,
,Dairy Milk ,1 bar=95 gm,No. of bars,1,95,7.5,26.5,57,495,,,,
,Dairy Milk fruit n nut,1 bar=80 gm,No. of bars,1,80,7,21.5,45,402,,,,
,Granola bar (Nature valley),1 bar = 30 gm,No. of bars,1,30,1.4,1.5,26,123,1.9,,,
,Kit-Kat (2 fingers),1 bar=2 fingers=16.5 gm,No. of bars,1,16.5,1.1,4.1,8,73,,,,
,Mars,1 bar=50 gm,No. of bars,1,50,1.9,8.8,35,226,,,,
,Perk( 1 small 5 rs),1 bar=16 gm,No. of bars,1,16,1,4,10,80,,,,
,Snickers,1 bar=32 gm,No. of bars,1,32,2.9,8.9,18,163,,,,
,Twix,1 bar = 58 gm (2 fingers),No. of bars,1,58,2.8,14,37,285,0.9,,,
BEVERAGES (Milk),Boost,1 tbsp = 10 gm,No. of tbsp,1,10,0.8,0.4,8,39,,,,
,Bournvita,1 tbsp = 10 gm,No. of tbsp,1,10,0.7,0.2,8,38,,10,1.8,
,Complan,1 tbsp = 10 gm,No. of tbsp,1,10,1.8,1.1,6,42,,80,1.4,
,Horlicks,1 tbsp = 10 gm,No. of tbsp,1,10,,,,39,,74.1,2.6,
,Horlicks Lite,1 tbsp = 10 gm,No. of tbsp,1,10,,,,35,,,,
,Proteinix,1 tbsp = 10 gm,No. of tbsp,1,10,3.2,,,30,,,,
,Women's Horlicks,1 tbsp = 10 gm,No. of tbsp,1,10,,0.2,7,36,,,,
ALCOHOL,Beer ,1 Bottle = 300 gm,No. of bottle,1,1,,,,150,,,,
,Gin,1 small peg = 30 ml,No. of small pegs,2,2,,,,133,,,,
,Kingfisher light beer,1 Bottle = 330 ml,No. of bottle,1,1,,,,99,,,,
,Kingfisher Premium beer,1 Bottle = 330 ml,No. of bottle,1,1,,,,180,,,,
,Kingfisher strong beer,1 Bottle = 330 ml,No. of bottle,1,1,,,,216,,,,
,Light,,No. of bottle,1,1,,,,83,,,,
,Near Beer,,No. of bottle,1,1,,,,50,,,,
,Red wine or Rose,,ml,100,100,,,,71,,,,
,Regular ,,No. of bottle,1,1,,,,125,,,,
,Rum,1 small peg = 30 ml,No. of small pegs,2,2,,,,133,,,,
,Scotch,1 small peg = 30 ml,No. of small pegs,2,2,,,,133,,,,
,Sprakling wine- champagne,,ml,100,100,,,,83,,,,
,Vodka,1 small peg = 30 ml,No. of small pegs,2,2,,,,133,,,,
,Whiskey,1 small peg = 30 ml,No. of small pegs,2,2,,,,133,,,,
,White wine,,ml,100,100,,,,67,,,,
,Wine (average),,ml,100,100,,,,88,,,,
COCKTAILS,Bloody Mary,1 drink = 150 ml,No. of drinks,1,1,,,,116,,,,
,Cosmopolitan,1 drink = 90 ml,No. of drinks,1,1,,,,196,,,,
,Daiquiri,1 drink = 60 ml,No. of drinks,1,1,,,,111,,,,
,Dry Barandy- cognac,1 drink = 150 ml,No. of drinks,1,1,,,,375,,,,
,Long island Iced Tea,1 drink = 240 ml,No. of drinks,1,1,,,,440,,,,
,Margarita/Caprioska,1 drink = 150 ml,No. of drinks,1,1,,,,310,,,,
,Martini,1 drink = 150 ml,No. of drinks,1,1,,,,312,,,,
,Mojito,1 drink = 150 ml,No. of drinks,1,1,,,,102,,,,
,Triple sec,Alcohol=8.5 gm in 30 ml,ml,60,60,0,0,22,206,,,,
SOFT DRINKS,Coke ,1 Bottle = 300 ml,No. of bottles,1,1,0,0,33,126,,,,
,Coke- diet,1 Bottle = 300 ml,No. of bottles,1,1,0,0,0,1,,,,
,Fanta/Mirinda,1 Bottle = 300 ml,No. of bottles,1,1,,,,141,,,,
,Limca,1 Bottle = 300 ml,No. of bottles,1,1,,,,150,,,,
,Pepsi,1 Bottle = 300 ml,No. of bottles,1,1,,,,131,,,,
,Pepsi- can,1 can = 330 ml,No. of cans,1,1,,,,144,,,,
,Sprite,1 Bottle = 300 ml,No. of bottles,1,1,,,35,144,,,,
JUICES,Appy,1 tetra pack = 200 ml,No. of packs,1,1,1,0.4,33,134,,,,
,Frooti,1 tetra pack = 200 ml,No. of packs,1,1,,,32,130,,,,
,Real - Guava Juice,1 tetra pack = 200 ml,No. of packs,1,1,2,0,30,120,,,,
,Real - Orange Juice,1 tetra pack = 200 ml,No. of packs,1,1,2,0,26,112,,,,
,Real Activ- Orange carrot juice,1 tetra pack = 200 ml,No. of packs,1,1,0,0,24,96,,,,
,Real Activ-Apple juice,1 tetra pack = 200 ml,No. of packs,1,1,1,0,22,88,,,,
,Real cranberry juice,1 glass = 200 ml,No. of glass,1,200,0.2,0,30,120,,20,0.6,
,Real-Mixed fruit juice,1 tetra pack = 200 ml,No. of packs,1,1,2,0,26,112,,,,
,Real-Sweet lime juice,1 tetra pack = 200 ml,No. of packs,1,1,2,0,28,112,,,,
,Tropicana juice- Apple,1 tetra pack = 200 ml,No. of packs,1,1,0.8,0,22,94,,,,
,Tropicana juice- Guava Nectar,1 tetra pack = 200 ml,No. of packs,1,1,0,0,36,150,,,,
,Tropicana Juice-Mix fruit,1 tetra pack = 200 ml,No. of packs,1,1,0,0,27.4,112,,,,
,Tropicana Juice-Orange,1 tetra pack = 200 ml,No. of packs,1,1,2,0,22,100,,,,
BEVERAGES,Amul kool lassi,1 tetra pack = 200 ml,No. of packs,1,1,4,4.2,26,158,,148,,
,Amul Lassi(sweet),1 tetra pack = 200 ml,No. of packs,1,1,4.5,6,20,150,,224,,
,Amul masti spiced buttermillkk,1 tetra pack = 200 ml,No. of packs,1,1,4,3.4,4,62,,150,,
,Buttermilk(salted) ,1 glass = 200 ml,No. of glass,1,1,3,4,3,60,,149,,
,Coconut water,1 glass = 200 ml,No. of glass,1,1,3,0,9,48,,48,,
,Gatorade,1 glass = 200 ml,No. of glass,1,1,0,0,7.2,48,,,,
,lipton ice tea green tea,1 pet bottle =350 ml,No. of bottles,1,350,0,0,0,112,,,,
,Milkshake with fruit,1 glass = 200 ml,No. of glass,1,1,5,7,23,186,,224,,
,Red Bull,1 glass = 200 ml,No. of glass,1,200,0,0,22,90,,,,
,Sweetened lime water,1 glass = 200 ml,No. of glass,1,1,0,0,10,42,,223,,
,Tang orange,1 glass = 200 ml,No. of glass,1,1,0,0,23.5,97,,,,
,Tonic water,,ml,150,150,,,,54,,,,
FAST FOOD,Domino's Cheese-burst pizza,6-inch,No. of pizza,1,1,21,22,35,422,,,,
,"Domino's Deluxe (12 "")",1 slice,No. of slice,1,1,7,12,16,196,,,,
,Domino's Garlic bread, 1 slice,No. of slice,1,1,4.7,3.6,16,117,,,,
,Domino's Pan pizza,6-inch,No. of pizza,1,1,23,28,68,598,,,,
,"Domino's Thin-crust Margerita (10"")",1 slice,No. of slice,1,1,6,3,28,160,,,,
,KFC Popcorn Chicken,1 serving,no. of servings,1,1,22,26,18,400,,,,
,KFC Potato wedges,100 gms,gms,1,1,4,13,33,260,,,,
,KFC Zinger Burger,1,no. of burgers,1,1,24,18.5,41,446,,,,
,Maggi Masala noodles,1 medium pack = 80 gms,No. of packets,1,80,7.4,11.4,49.28,330,,,,
,Maggi Veg Multigrainz noodles,1 medium pack = 80 gms,No. of packets,1,80,7.6,11.1,51.2,336,3.8,99.2,,
,Maggi Vegetable  atta noodles,1 medium pack = 80 gms,No. of packets,1,80,8.2,10.7,51.04,342,4.2,,,
,Mc Donald's French Fries,Regular,No. of regular packs,1,1,4.5,15.5,41,319,,,,
,Mc Spicy Chicken wrap,1,No. of wraps,1,1,22,23,48,488,,,,
,McAloo Tikki Burger,1,No. of burgers,1,1,8.2,13.6,46,337,,,,
,McChicken Burger,1,No. of burgers,1,1,15.3,21.4,41,416,,,,
,McChicken Nuggets,4 pcs,No. of pcs,1,1,2.7,3,3,49,,,,
,McSpicy Paneer Wrap,1,No. of wraps,1,1,26,47,53,740,,,,
,McVeggie Burger,1,No. of burgers,1,1,11.9,23.9,51,465,,,,
